"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.113535100E-1,2.205000073E-2,9.495000541E-2,9.738000870E0
4.133420490E-1,1.995000057E-2,8.805000782E-2,9.730950356E0
4.153304340E-1,6.000000052E-3,6.900000572E-2,9.738000870E0
4.173189860E-1,6.000000052E-3,7.395000011E-2,9.730950356E0
4.193073710E-1,1.050000079E-3,8.805000782E-2,9.727950096E0
4.212959090E-1,1.800000109E-2,9.495000541E-2,9.759000778E0
4.232842940E-1,1.800000109E-2,1.020000055E-1,9.750000000E0
4.252728220E-1,1.800000109E-2,9.000000358E-2,9.721050262E0
4.292611300E-1,1.305000018E-2,8.595000207E-2,9.706950188E0
4.294236680E-1,1.050000079E-3,7.800000161E-2,9.726000786E0
4.312381300E-1,-1.005000062E-2,8.595000207E-2,9.730950356E0
4.332266680E-1,1.050000079E-3,9.000000358E-2,9.733050346E0
4.352149760E-1,-1.695000008E-2,9.495000541E-2,9.750000000E0
4.372033610E-1,-1.500000060E-2,9.495000541E-2,9.733050346E0
4.391918940E-1,-1.500000060E-2,9.495000541E-2,9.754950523E0
4.411802790E-1,-3.405000269E-2,8.805000782E-2,9.757050514E0
4.431688170E-1,-2.205000073E-2,8.805000782E-2,9.742950439E0
4.451571250E-1,-3.900000080E-2,1.069500074E-1,9.747000694E0
4.471457400E-1,-2.895000204E-2,9.495000541E-2,9.751950264E0
4.491340480E-1,-2.205000073E-2,1.099500060E-1,9.751950264E0
4.511224620E-1,-1.695000008E-2,1.120500043E-1,9.762000084E0
4.531110000E-1,-4.950000439E-3,1.020000055E-1,9.754950523E0
4.550993850E-1,-1.200000010E-2,9.795000404E-2,9.747000694E0
4.570879230E-1,-1.005000062E-2,9.495000541E-2,9.745050430E0
4.590763080E-1,-1.005000062E-2,8.595000207E-2,9.757050514E0
4.610648460E-1,-7.950000465E-3,9.000000358E-2,9.751950264E0
4.630532310E-1,6.000000052E-3,8.595000207E-2,9.745050430E0
4.650415390E-1,0.000000000E0,8.295000345E-2,9.754950523E0
4.670300770E-1,1.005000062E-2,7.605000585E-2,9.745050430E0
4.690186920E-1,1.800000109E-2,8.595000207E-2,9.762000084E0
4.710070770E-1,1.305000018E-2,8.805000782E-2,9.747000694E0
4.729953850E-1,3.405000269E-2,9.795000404E-2,9.759000778E0
4.749839040E-1,3.000000119E-2,7.095000148E-2,9.750000000E0
4.769722890E-1,1.995000057E-2,8.595000207E-2,9.750000000E0
4.789608270E-1,1.800000109E-2,7.800000161E-2,9.747000694E0
4.809492120E-1,4.395000264E-2,7.395000011E-2,9.750000000E0
4.829375200E-1,2.700000070E-2,6.900000572E-2,9.763950348E0
4.849261350E-1,3.000000119E-2,8.100000024E-2,9.762000084E0
