"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.423134484E0,-2.512500048E0,-3.270000076E1,-4.601250076E1
3.443131162E0,-2.287500143E0,-3.275625229E1,-4.601250076E1
3.463135407E0,-2.043750048E0,-3.288750076E1,-4.601250076E1
3.483139642E0,-1.912500024E0,-3.305625153E1,-4.620000076E1
3.503170560E0,-1.743750095E0,-3.311250305E1,-4.625625229E1
3.523174776E0,-1.912500024E0,-3.300000000E1,-4.590000153E1
3.543173381E0,-2.100000143E0,-3.264375305E1,-4.608750153E1
3.563153414E0,-2.343750000E0,-3.264375305E1,-4.590000153E1
3.583123438E0,-2.156250000E0,-3.294375229E1,-4.595625305E1
3.603091837E0,-2.456250191E0,-3.288750076E1,-4.565625000E1
3.623058577E0,-2.643750191E0,-3.288750076E1,-4.554375076E1
3.643067582E0,-2.812500000E0,-3.270000076E1,-4.565625000E1
3.663113730E0,-2.943750143E0,-3.270000076E1,-4.584375000E1
3.683138566E0,-2.943750143E0,-3.288750076E1,-4.608750153E1
3.703170720E0,-2.943750143E0,-3.300000000E1,-4.620000076E1
3.723179306E0,-2.887500048E0,-3.270000076E1,-4.650000000E1
3.743168325E0,-2.756250143E0,-3.240000153E1,-4.631250000E1
3.763142065E0,-2.756250143E0,-3.264375305E1,-4.631250000E1
3.783138743E0,-2.512500048E0,-3.245625305E1,-4.631250000E1
3.803143012E0,-2.400000095E0,-3.251250076E1,-4.601250076E1
3.823139709E0,-2.100000143E0,-3.264375305E1,-4.584375000E1
3.843166868E0,-2.212500095E0,-3.251250076E1,-4.601250076E1
3.863171070E0,-1.987500072E0,-3.251250076E1,-4.571250153E1
3.883167771E0,-1.987500072E0,-3.240000153E1,-4.554375076E1
3.903154934E0,-2.287500143E0,-3.275625229E1,-4.578750229E1
3.923132154E0,-2.343750000E0,-3.258750153E1,-4.601250076E1
3.943107794E0,-2.212500095E0,-3.288750076E1,-4.601250076E1
3.963079360E0,-2.343750000E0,-3.281250000E1,-4.601250076E1
3.983087374E0,-2.587500095E0,-3.264375305E1,-4.614375305E1
4.003079162E0,-2.400000095E0,-3.264375305E1,-4.601250076E1
4.023104475E0,-2.400000095E0,-3.281250000E1,-4.631250000E1
4.043133820E0,-2.287500143E0,-3.305625153E1,-4.608750153E1
4.063136200E0,-2.100000143E0,-3.288750076E1,-4.608750153E1
4.083172325E0,-1.912500024E0,-3.281250000E1,-4.614375305E1
4.103146070E0,-2.287500143E0,-3.288750076E1,-4.625625229E1
4.123150353E0,-2.212500095E0,-3.330000305E1,-4.644375229E1
4.143154584E0,-2.212500095E0,-3.341250229E1,-4.644375229E1
4.163151242E0,-2.343750000E0,-3.360000229E1,-4.625625229E1
4.183178396E0,-2.512500048E0,-3.318750000E1,-4.584375000E1
4.203175044E0,-2.643750191E0,-3.318750000E1,-4.590000153E1
4.223171708E0,-2.812500000E0,-3.305625153E1,-4.590000153E1
4.243166082E0,-2.943750143E0,-3.305625153E1,-4.554375076E1
4.263131188E0,-2.943750143E0,-3.264375305E1,-4.530000305E1
4.283114034E0,-2.943750143E0,-3.245625305E1,-4.530000305E1
4.303092822E0,-2.943750143E0,-3.234375000E1,-4.530000305E1
4.323098100E0,-2.812500000E0,-3.210000229E1,-4.530000305E1
4.343101634E0,-2.700000048E0,-3.234375000E1,-4.565625000E1
4.363119730E0,-2.756250143E0,-3.234375000E1,-4.565625000E1
4.383141874E0,-2.756250143E0,-3.264375305E1,-4.554375076E1
4.403139749E0,-2.587500095E0,-3.288750076E1,-4.578750229E1
4.423168691E0,-2.587500095E0,-3.288750076E1,-4.601250076E1
4.443150060E0,-2.456250191E0,-3.305625153E1,-4.601250076E1
4.463161940E0,-2.456250191E0,-3.335625076E1,-4.614375305E1
4.483166195E0,-2.287500143E0,-3.360000229E1,-4.655625153E1
4.503162863E0,-2.156250000E0,-3.371250153E1,-4.625625229E1
4.523182396E0,-2.100000143E0,-3.354375076E1,-4.620000076E1
4.543171391E0,-1.987500072E0,-3.335625076E1,-4.631250000E1
4.563168020E0,-2.100000143E0,-3.335625076E1,-4.661250305E1
4.583169668E0,-2.100000143E0,-3.348750305E1,-4.668750000E1
4.603137582E0,-2.100000143E0,-3.318750000E1,-4.650000000E1
4.623127649E0,-2.100000143E0,-3.318750000E1,-4.631250000E1
4.643096538E0,-2.287500143E0,-3.294375229E1,-4.608750153E1
4.663102182E0,-2.400000095E0,-3.294375229E1,-4.608750153E1
4.683110105E0,-2.212500095E0,-3.318750000E1,-4.620000076E1
4.703120965E0,-2.287500143E0,-3.305625153E1,-4.631250000E1
4.723152955E0,-2.287500143E0,-3.288750076E1,-4.620000076E1
4.743143235E0,-2.287500143E0,-3.275625229E1,-4.595625305E1
4.763164956E0,-2.400000095E0,-3.288750076E1,-4.608750153E1
4.783154032E0,-2.287500143E0,-3.258750153E1,-4.608750153E1
4.803124036E0,-2.100000143E0,-3.281250000E1,-4.595625305E1
4.823128358E0,-1.987500072E0,-3.281250000E1,-4.595625305E1
4.843125007E0,-1.987500072E0,-3.264375305E1,-4.571250153E1
4.863136872E0,-2.212500095E0,-3.281250000E1,-4.530000305E1
4.883167804E0,-2.287500143E0,-3.300000000E1,-4.518750000E1
4.903172050E0,-2.156250000E0,-3.300000000E1,-4.554375076E1
4.923175015E0,-2.043750048E0,-3.300000000E1,-4.578750229E1
4.943150068E0,-2.287500143E0,-3.300000000E1,-4.578750229E1
4.963118298E0,-2.212500095E0,-3.311250305E1,-4.608750153E1
4.983081763E0,-2.400000095E0,-3.294375229E1,-4.625625229E1
5.003093696E0,-2.512500048E0,-3.294375229E1,-4.661250305E1
